site,latitude,longitude,ve,ee,vn,en,v_mag,e_mag,time
ANQ0,16.2603,121.6494,-42.6,1.4,33.5,1.5,54.1,2.1,2008.6~2015.3
AR17,15.7398,121.3888,-41.8,1.2,23.9,0.7,48.1,1.4,2008.6~2015.3
AR30,15.333,121.3725,-35.1,1.4,15.1,0.9,38.2,1.6,2008.7~2015.3
BGB1,15.6561,121.2144,-39.3,0.6,16.8,0.6,42.7,0.9,2000.3~2015.3
BNBA,15.8337,120.9597,-32.7,1.0,10.7,1.0,34.3,1.4,2008.6~2015.3
BR14,17.5384,120.7185,-42.4,1.0,12.6,0.8,44.3,1.2,2009.8~2015.3
BSCS,16.9865,121.9588,-44.4,1.5,30.1,1.2,53.6,1.9,2009.9~2015.3
CMN2,14.1344,122.9827,-34.7,0.5,29.0,0.4,45.2,0.7,1998.1~2015.3
CMS2,13.7609,123.2861,-31.0,0.7,28.5,0.6,42.1,0.9,1998.1~2011.4
CRIS,15.7829,121.0595,-39.2,0.9,13.1,0.5,41.3,1.0,2000.3~2014.8
CRLN,15.9596,121.064,-36.3,1.2,18.8,0.8,40.8,1.4,2008.6~2015.3
CUYP,15.8121,120.6775,-28.7,1.3,3.3,1.5,28.9,1.9,2009.8~2015.3
DINA,16.1397,121.9524,-44.5,1.3,27.6,1.0,52.4,1.6,2008.6~2015.3
DIPA,15.9226,121.5739,-42.5,0.9,26.9,1.1,50.3,1.4,2008.6~2015.3
IFG1,16.9206,121.0515,-38.8,0.7,21.6,0.5,44.4,0.9,1998.4~2015.3
ILN3,18.0846,120.8147,-43.8,1.2,15.5,1.3,46.5,1.8,2009.8~2015.3
ISB4,16.5036,121.737,-44.5,1.0,29.9,1.0,53.6,1.4,2008.6~2015.3
ITGN,16.4004,120.6462,-37.2,0.9,6.8,0.9,37.8,1.2,2008.7~2015.3
KA08,17.4035,121.3648,-39.8,1.5,28.4,2.5,48.9,2.9,2009.8~2015.3
LUBU,17.355,121.1789,-39.1,1.0,21.6,0.8,44.7,1.3,2010.3~2015.3
LUN1,16.5826,120.3044,-32.7,0.6,4.1,0.5,33.0,0.7,1998.4~2012.1
LUZA,14.8775,120.1953,-25.4,0.5,-1.2,0.6,25.4,0.8,1998.1~2015.3
LUZB,15.3728,120.5171,-26.3,0.6,1.2,0.6,26.3,0.9,1998.1~2009.8
LUZC,16.388,120.5682,-34.1,0.5,5.9,0.5,34.6,0.7,1998.1~2015.3
LUZD,17.5509,120.4556,-42.6,0.6,8.9,0.4,43.5,0.7,1998.1~2015.3
LUZE,15.561,121.097,-34.1,0.6,8.2,0.5,35.1,0.8,1998.1~2015.3
LUZF,15.8136,121.1131,-39.0,0.5,18.0,0.4,42.9,0.7,1998.1~2015.3
LUZG,16.6075,121.4821,-41.5,0.8,27.2,0.5,49.6,0.9,1998.1~2015.3
LUZH,17.7174,121.8038,-48.6,0.9,27.5,0.7,55.8,1.1,1998.1~2015.3
LUZL,14.6201,121.208,-27.7,0.8,3.5,0.7,27.9,1.1,1998.1~2006.9
LUZP,13.8145,120.9753,-14.6,0.9,-2.9,0.8,14.9,1.2,1998.1~2012.1
MACR,16.0107,120.8201,-30.6,0.9,9.5,0.8,32.0,1.2,1998.1~2012.1
MAGA,15.22,120.6957,-28.1,0.9,3.2,0.7,28.2,1.1,2006.9~2015.3
MRIK,15.7998,121.2483,-39.8,0.9,21.9,0.9,45.4,1.3,2008.6~2015.3
N132,15.5244,120.7974,-28.0,1.0,2.9,0.9,28.2,1.3,2008.6~2014.3
NE21,15.6717,120.8535,-28.1,1.1,4.0,0.6,28.4,1.2,2008.6~2014.3
NVY2,16.3273,121.2611,-41.5,1.4,27.0,1.0,49.5,1.7,2008.6~2015.3
NVY3,16.1329,120.93,-39.4,1.4,17.1,0.9,42.9,1.7,2008.6~2015.3
NVY9,16.358,120.8883,-37.8,1.5,15.8,1.9,40.9,2.4,2008.6~2015.3
ODON,15.3241,120.4232,-25.1,0.9,2.1,0.7,25.2,1.1,2008.7~2015.3
PABL,15.7856,121.0615,-36.5,0.6,13.4,0.7,38.9,0.9,2000.3~2014.8
PANC,18.5508,120.9271,-48.7,1.0,19.3,1.1,52.4,1.5,2009.8~2014.3
PNG5,15.8677,120.2537,-25.2,0.9,1.5,0.6,25.2,1.1,2008.6~2014.3
PUGA,15.7261,121.0407,-35.5,0.9,10.1,0.7,36.8,1.2,2000.3~2011.1
S289,18.5137,121.3218,-48.8,1.2,23.7,1.5,54.3,1.9,2009.8~2013.0
SISN,16.1626,120.5152,-30.7,0.8,5.2,0.7,31.1,1.1,2008.7~2015.3
SMAT,16.6862,121.551,-38.8,1.6,29.0,1.3,48.4,2.1,2009.8~2015.3
SMDS,16.8902,121.5983,-41.4,1.4,27.7,1.2,49.8,1.9,2009.9~2015.3
SRQE,16.1178,120.6813,-32.6,1.4,6.6,0.6,33.3,1.5,2009.8~2015.3
SUAL,16.0724,120.0809,-28.7,0.9,3.4,0.7,28.9,1.1,2006.9~2015.3
TRC3,15.6095,120.3838,-24.5,0.6,2.4,0.7,24.6,1.0,2008.6~2015.3
ZBS1,15.4092,119.9525,-23.9,0.9,0.6,1.1,23.9,1.4,2008.7~2015.3
ZBS3,15.8057,119.9247,-27.0,0.7,-2.0,0.6,27.0,0.9,1998.3~2015.3
